BATCH_SIZE,CHANNELS,EPOCHS,OFFSET,POSITIVE_EXRTACT_END_OFFSET,POSITVE_INTERSECT_SIZE,POSTIVE_EXTRACT_INTERVAL,PREPREDICTION_LENGTH,Test_Data_Length,Test_patient,Train_Data_Length,Train_patients,Val_Data_Length,Val_patient,WINDOW_SIZE,acc,date,description,fn,fp,loss
64.0,EDA TEMP HR,50.0,1000.0,30.0,100.0,20.0,10.0,182.0,"['MSEL_01110-ICU', 'MSEL_01575']",550.0,"['MSEL_00501', 'MSEL_00172', 'MSEL_01097', 'MSEL_01808', 'MSEL_01838', 'MSEL_01838', 'MSEL_01844']",24.0,['MSEL_01842'],75.0,0.907,27.01.2022 09:48,50/50 advanced,15.0,2.0,0.413
64.0,EDA TEMP HR,50.0,1000.0,30.0,100.0,20.0,10.0,182.0,"['MSEL_01110-ICU', 'MSEL_01575']",550.0,"['MSEL_00501', 'MSEL_00172', 'MSEL_01097', 'MSEL_01808', 'MSEL_01838', 'MSEL_01838', 'MSEL_01844']",24.0,['MSEL_01842'],75.0,0.8959999999999999,27.01.2022 09:48,50/50 advanced,17.0,2.0,0.59
64.0,EDA TEMP HR,50.0,1000.0,30.0,100.0,20.0,10.0,182.0,"['MSEL_01110-ICU', 'MSEL_01575']",550.0,"['MSEL_00501', 'MSEL_00172', 'MSEL_01097', 'MSEL_01808', 'MSEL_01838', 'MSEL_01838', 'MSEL_01844']",24.0,['MSEL_01842'],75.0,0.753,27.01.2022 09:48,50/50 advanced,24.0,21.0,0.522
64.0,EDA TEMP HR,50.0,1000.0,30.0,100.0,20.0,10.0,182.0,"['MSEL_01110-ICU', 'MSEL_01575']",550.0,"['MSEL_00501', 'MSEL_00172', 'MSEL_01097', 'MSEL_01808', 'MSEL_01838', 'MSEL_01838', 'MSEL_01844']",24.0,['MSEL_01842'],75.0,0.9009999999999999,27.01.2022 09:48,50/50 advanced,17.0,1.0,0.45399999999999996
64.0,EDA TEMP HR,50.0,1000.0,30.0,100.0,20.0,10.0,182.0,"['MSEL_01110-ICU', 'MSEL_01575']",550.0,"['MSEL_00501', 'MSEL_00172', 'MSEL_01097', 'MSEL_01808', 'MSEL_01838', 'MSEL_01838', 'MSEL_01844']",24.0,['MSEL_01842'],75.0,0.8740000000000001,27.01.2022 09:49,50/50 advanced,13.0,10.0,0.452
64.0,EDA TEMP HR,50.0,1000.0,30.0,100.0,20.0,10.0,182.0,"['MSEL_01110-ICU', 'MSEL_01575']",550.0,"['MSEL_00501', 'MSEL_00172', 'MSEL_01097', 'MSEL_01808', 'MSEL_01838', 'MSEL_01838', 'MSEL_01844']",24.0,['MSEL_01842'],75.0,0.8959999999999999,27.01.2022 09:49,50/50 advanced,18.0,1.0,0.479
64.0,EDA TEMP HR,50.0,1000.0,30.0,100.0,20.0,10.0,182.0,"['MSEL_01110-ICU', 'MSEL_01575']",550.0,"['MSEL_00501', 'MSEL_00172', 'MSEL_01097', 'MSEL_01808', 'MSEL_01838', 'MSEL_01838', 'MSEL_01844']",24.0,['MSEL_01842'],75.0,0.841,27.01.2022 09:49,50/50 advanced,18.0,11.0,0.494
64.0,EDA TEMP HR,50.0,1000.0,30.0,100.0,20.0,10.0,182.0,"['MSEL_01110-ICU', 'MSEL_01575']",550.0,"['MSEL_00501', 'MSEL_00172', 'MSEL_01097', 'MSEL_01808', 'MSEL_01838', 'MSEL_01838', 'MSEL_01844']",24.0,['MSEL_01842'],75.0,0.8190000000000001,27.01.2022 09:49,50/50 advanced,13.0,20.0,0.478
64.0,EDA TEMP HR,50.0,1000.0,30.0,100.0,20.0,10.0,182.0,"['MSEL_01110-ICU', 'MSEL_01575']",550.0,"['MSEL_00501', 'MSEL_00172', 'MSEL_01097', 'MSEL_01808', 'MSEL_01838', 'MSEL_01838', 'MSEL_01844']",24.0,['MSEL_01842'],75.0,0.885,27.01.2022 10:26,50/50 advanced,20.0,1.0,0.547
64.0,EDA TEMP HR,50.0,1000.0,30.0,100.0,20.0,10.0,182.0,"['MSEL_01110-ICU', 'MSEL_01575']",550.0,"['MSEL_00501', 'MSEL_00172', 'MSEL_01097', 'MSEL_01808', 'MSEL_01838', 'MSEL_01838', 'MSEL_01844']",24.0,['MSEL_01842'],75.0,0.9229999999999999,27.01.2022 10:26,50/50 advanced,13.0,1.0,0.38
64.0,EDA TEMP HR,50.0,1000.0,30.0,100.0,20.0,10.0,182.0,"['MSEL_01110-ICU', 'MSEL_01575']",550.0,"['MSEL_00501', 'MSEL_00172', 'MSEL_01097', 'MSEL_01808', 'MSEL_01838', 'MSEL_01838', 'MSEL_01844']",24.0,['MSEL_01842'],75.0,0.874,27.01.2022 10:26,50/50 advanced,13.0,10.0,0.451
